COUNTRY_NAME,STATE_NAME,LATITUDE,LONGITUDE,TRANS_RATE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
United States of America,Rhode Island,41.58009500000000,-71.47742900000000,3,15595,16643,18060,19972,22551,26022,30686
United States of America,Rhode Island,41.58009500000000,-71.47742900000000,4,15914,17564,20047,23776,29358,37678,49990
United States of America,South Carolina,33.83608100000000,-81.16372500000000,0.5,11532,11674,11821,11971,12127,12287,12452
United States of America,South Carolina,33.83608100000000,-81.16372500000000,1,11678,11987,12323,12689,13088,13522,13995
United States of America,South Carolina,33.83608100000000,-81.16372500000000,2,11994,12724,13612,14691,16004,17601,19541
United States of America,South Carolina,33.83608100000000,-81.16372500000000,3,12347,13641,15400,17787,21028,25426,31391
United States of America,South Carolina,33.83608100000000,-81.16372500000000,4,12741,14783,17880,22574,29683,40434,56666
United States of America,South Dakota,43.96951500000000,-99.90181300000000,0.5,5012,5066,5122,5179,5238,5298,5361
United States of America,South Dakota,43.96951500000000,-99.90181300000000,1,5068,5185,5312,5451,5602,5766,5945
United States of America,South Dakota,43.96951500000000,-99.90181300000000,2,5187,5464,5800,6208,6703,7305,8035
United States of America,South Dakota,43.96951500000000,-99.90181300000000,3,5321,5811,6475,7375,8595,10244,12474
United States of America,South Dakota,43.96951500000000,-99.90181300000000,4,5470,6242,7410,9175,11837,15841,21839
United States of America,Tennessee,35.51749100000000,-86.58044700000000,0.5,22822,23086,23357,23637,23926,24223,24529
United States of America,Tennessee,35.51749100000000,-86.58044700000000,1,23092,23665,24289,24969,25708,26513,27390
United States of America,Tennessee,35.51749100000000,-86.58044700000000,2,23679,25033,26679,28680,31113,34069,37662
United States of America,Tennessee,35.51749100000000,-86.58044700000000,3,24334,26734,29993,34415,40414,48546,59563
United States of America,Tennessee,35.51749100000000,-86.58044700000000,4,25064,28850,34588,43274,56410,76243,106109
United States of America,Texas,31.96859900000000,-99.90181300000000,0.5,63434,64217,65023,65854,66709,67591,68499
United States of America,Texas,31.96859900000000,-99.90181300000000,1,64237,65937,67789,69805,72001,74392,76995
